seq_id,description,length,pred_class,bit_score,evalue,query_len,target_len
tr|A0A6A4STS7|A0A6A4STS7_SCOMX,tr|A0A6A4STS7|A0A6A4STS7_SCOMX Aldehyde dehydrogenase family 3 member A2 OS=Scophthalmus maximus OX=52904 GN=F2P81_009120 PE=3 SV=1,797,8ca.beta.45,80.4,8.3e-26,797.0,381.0
tr|A0A834BR83|A0A834BR83_ORYME,tr|A0A834BR83|A0A834BR83_ORYME Aldehyde dehydrogenase family 3 member A2 OS=Oryzias melastigma OX=30732 GN=FQA47_007151 PE=3 SV=1,566,8ca.beta.45,77.3,7.399999999999999e-25,566.0,381.0
tr|A0A8C8XNP7|A0A8C8XNP7_PANLE,tr|A0A8C8XNP7|A0A8C8XNP7_PANLE Serotransferrin OS=Panthera leo OX=9689 GN=TF PE=3 SV=1,704,NO_HIT,,,,
tr|A0A9N8V4Z2|A0A9N8V4Z2_9GLOM,tr|A0A9N8V4Z2|A0A9N8V4Z2_9GLOM Phosphatidyl-N-methylethanolamine N-methyltransferase OS=Ambispora leptoticha OX=144679 GN=ALEPTO_LOCUS469 PE=3 SV=1,1142,8ca.alpha.45,13.4,1.6e-05,1142.0,349.0
tr|A0AAD6AS60|A0AAD6AS60_9TELE,tr|A0AAD6AS60|A0AAD6AS60_9TELE Aldehyde dehydrogenase family 3 member A2 OS=Pogonophryne albipinna OX=1090488 GN=JOQ06_019007 PE=3 SV=1,810,8ca.beta.45,81.2,4.6e-26,810.0,381.0
tr|A0AAD9EVU2|A0AAD9EVU2_DISEL,tr|A0AAD9EVU2|A0AAD9EVU2_DISEL Aldehyde dehydrogenase family 3 member A2 OS=Dissostichus eleginoides OX=100907 GN=KUDE01_024082 PE=3 SV=1,760,8ca.beta.45,81.8,3.1e-26,760.0,381.0
sp|A7MAQ2|DIOA3_DIOJA,sp|A7MAQ2|DIOA3_DIOJA Dioscorin dioA3 OS=Dioscorea japonica OX=4673 GN=dioA3 PE=1 SV=1,271,8ca.beta.45,166.5,5.6e-52,271.0,381.0
tr|A9XP97|A9XP97_DANRE,tr|A9XP97|A9XP97_DANRE Sodium/hydrogen exchanger OS=Danio rerio OX=7955 GN=slc9a3.2 PE=2 SV=1,851,NO_HIT,,,,
sp|B9EKR1|PTPRZ_MOUSE,sp|B9EKR1|PTPRZ_MOUSE Receptor-type tyrosine-protein phosphatase zeta OS=Mus musculus OX=10090 GN=Ptprz1 PE=1 SV=1,2312,8ca.beta.45,91.7,3.0999999999999997e-29,2312.0,381.0
sp|G0WXL9|CS2H_ACIS1,sp|G0WXL9|CS2H_ACIS1 Carbon disulfide hydrolase OS=Acidianus sp. (strain A1-3) OX=1071056 GN=csh PE=1 SV=1,204,8ca.alpha.45,87.4,5e-28,204.0,349.0
