seq_id,pred_model,bit_score,evalue,pred_class
tr|A0A6A4STS7|A0A6A4STS7_SCOMX,8ca.beta.45,99.6,8.900000000000001e-32,beta
tr|A0A834BR83|A0A834BR83_ORYME,8ca.beta.45,99.1,1.2e-31,beta
tr|A0A8C8XNP7|A0A8C8XNP7_PANLE,,,,NO_HIT
tr|A0A9N8V4Z2|A0A9N8V4Z2_9GLOM,8ca.alpha.45,22.2,3.5e-08,alpha
tr|A0AAD6AS60|A0AAD6AS60_9TELE,8ca.beta.45,101.0,3.4000000000000003e-32,beta
tr|A0AAD9EVU2|A0AAD9EVU2_DISEL,8ca.beta.45,101.1,3.1e-32,beta
sp|A7MAQ2|DIOA3_DIOJA,8ca.beta.45,192.2,5.1e-60,beta
tr|A9XP97|A9XP97_DANRE,,,,NO_HIT
sp|B9EKR1|PTPRZ_MOUSE,8ca.beta.45,107.4,3.7000000000000003e-34,beta
sp|G0WXL9|CS2H_ACIS1,8ca.alpha.45,90.0,5.3e-29,alpha
sp|O04846|ATCA1_ARATH,8ca.beta.45,203.1,2.4e-63,beta
sp|O43570|CAH12_HUMAN,8ca.beta.45,144.7,1.5e-45,beta
sp|O85040|RBL1_HALNC,,,,NO_HIT
sp|O85041|CSOS2_HALNC,,,,NO_HIT
sp|O85042|CSOCA_HALNC,,,,NO_HIT
sp|O88343|S4A4_MOUSE,,,,NO_HIT
sp|P00879|RBL_NOSS1,,,,NO_HIT
sp|P00915|CAH1_HUMAN,8ca.beta.45,166.8,2.9e-52,beta
sp|P00917|CAH1_HORSE,8ca.beta.45,171.4,1.0999999999999999e-53,beta
sp|P00918|CAH2_HUMAN,8ca.beta.45,166.7,3e-52,beta
sp|P00919|CAH2_RABIT,8ca.beta.45,163.8,2.4e-51,beta
sp|P00920|CAH2_MOUSE,8ca.beta.45,164.6,1.3e-51,beta
sp|P00921|CAH2_BOVIN,8ca.beta.45,168.6,7.9e-53,beta
sp|P00922|CAH2_SHEEP,8ca.beta.45,157.0,2.8e-49,beta
sp|P07451|CAH3_HUMAN,8ca.beta.45,154.8,1.3000000000000001e-48,beta
sp|P07630|CAH2_CHICK,8ca.beta.45,158.9,7.5e-50,beta
sp|P12960|CNTN1_MOUSE,,,,NO_HIT
sp|P14141|CAH3_RAT,8ca.beta.45,150.5,2.5999999999999997e-47,beta
sp|P16015|CAH3_MOUSE,8ca.beta.45,149.0,7.5e-47,beta
sp|P17067|CAHC_PEA,8ca.alpha.45,16.0,2.9e-06,alpha
sp|P18761|CAH6_MOUSE,8ca.beta.45,155.0,1.1e-48,beta
sp|P20507|CAH1_CHLRE,8ca.beta.45,142.2,9.2e-45,beta
sp|P22748|CAH4_HUMAN,8ca.beta.45,124.4,2.3999999999999998e-39,beta
sp|P23280|CAH6_HUMAN,8ca.beta.45,127.6,2.5e-40,beta
sp|P23470|PTPRG_HUMAN,8ca.beta.45,108.7,1.5e-34,beta
sp|P23471|PTPRZ_HUMAN,8ca.beta.45,107.2,4.4e-34,beta
sp|P23589|CAH5A_MOUSE,8ca.beta.45,141.7,1.2e-44,beta
sp|P27134|CYNT_SYNE7,8ca.alpha.45,31.5,4.9e-11,alpha
sp|P27139|CAH2_RAT,8ca.beta.45,164.2,1.7e-51,beta
sp|P27140|BCA1_ARATH,8ca.alpha.45,25.0,5e-09,alpha
sp|P28651|CAH8_MOUSE,8ca.beta.45,123.6,4.1e-39,beta
sp|P35218|CAH5A_HUMAN,8ca.beta.45,141.7,1.3000000000000002e-44,beta
sp|P35219|CAH8_HUMAN,8ca.beta.45,122.6,8.4e-39,beta
sp|P40881|CAH_METTT,8ca.gamma.45,69.9,7.5e-23,gamma
sp|P42737|BCA2_ARATH,8ca.alpha.45,25.1,4.6e-09,alpha
sp|P43166|CAH7_HUMAN,8ca.beta.45,168.6,7.9e-53,beta
sp|P43241|CDX2_MOUSE,,,,NO_HIT
sp|P45689|CSOSA_HALNC,,,,NO_HIT
sp|P48284|CAH4_RAT,8ca.beta.45,116.8,5.1e-37,beta
sp|P53615|CAN_YEAST,8ca.alpha.45,26.7,1.5e-09,alpha
sp|P56524|HDAC4_HUMAN,,,,NO_HIT
sp|P72758|CCMM_SYNY3,8ca.gamma.45,44.5,4.8e-15,gamma
sp|P9WPJ7|MTCA1_MYCTU,8ca.alpha.45,91.9,1.3999999999999998e-29,alpha
sp|P9WPJ9|MTCA2_MYCTU,8ca.alpha.45,28.0,5.9e-10,alpha
sp|Q03513|CCMM_SYNE7,8ca.gamma.45,46.7,9.7e-16,gamma
sp|Q05909|PTPRG_MOUSE,8ca.beta.45,108.4,1.9e-34,beta
sp|Q12860|CNTN1_HUMAN,,,,NO_HIT
sp|Q16790|CAH9_HUMAN,8ca.beta.45,122.3,1.1e-38,beta
sp|Q27908|MANA_PINFU,8ca.beta.45,93.1,8.600000000000001e-30,beta
sp|Q31NB3|RBL_SYNE7,,,,NO_HIT
sp|Q4U116|S4A4_PIG,,,,NO_HIT
sp|Q54735|CYNT_SYNY3,8ca.alpha.45,26.9,1.3e-09,alpha
sp|Q5AJ71|CAN_CANAL,8ca.alpha.45,26.2,2.1e-09,alpha
sp|Q62656|PTPRZ_RAT,8ca.beta.45,106.6,6.3e-34,beta
sp|Q63198|CNTN1_RAT,,,,NO_HIT
sp|Q64444|CAH4_MOUSE,8ca.beta.45,126.7,4.9e-40,beta
sp|Q6FXU7|PDR1_CANGA,,,,NO_HIT
sp|Q75N34|DB3S_DIOPO,8ca.beta.45,187.9,1e-58,beta
sp|Q75N35|DB3L_DIOPO,8ca.beta.45,185.5,5.7e-58,beta
sp|Q7L1S5|CHST9_HUMAN,,,,NO_HIT
tr|Q804B2|Q804B2_DANRE,,,,NO_HIT
sp|Q84UV8|NEC3_NICLS,8ca.beta.45,199.4,3.2999999999999996e-62,beta
sp|Q8BTY2|S4A7_MOUSE,,,,NO_HIT
sp|Q8CIW6|S26A6_MOUSE,,,,NO_HIT
sp|Q8DKB5|CCMM_THEVB,8ca.gamma.45,64.5,3.4e-21,gamma
sp|Q8N1Q1|CAH13_HUMAN,8ca.beta.45,145.8,7e-46,beta
sp|Q8VHB5|CAH9_MOUSE,8ca.beta.45,128.2,1.6e-40,beta
sp|Q8YYI3|CCMM_NOSS1,8ca.gamma.45,58.2,3e-19,gamma
sp|Q94CE4|BCA4_ARATH,8ca.alpha.45,23.5,1.4e-08,alpha
sp|Q9BXS9|S26A6_HUMAN,,,,NO_HIT
sp|Q9C6B3|GCA2_ARATH,8ca.gamma.45,213.1,8.900000000000001e-67,gamma
sp|Q9D6N1|CAH13_MOUSE,8ca.beta.45,146.4,4.6e-46,beta
sp|Q9DBD0|ICA_MOUSE,,,,NO_HIT
sp|Q9GL77|S4A4_BOVIN,,,,NO_HIT
sp|Q9H2A9|CHST8_HUMAN,,,,NO_HIT
sp|Q9JI66|S4A4_RAT,,,,NO_HIT
sp|Q9R1N3|S4A7_RAT,,,,NO_HIT
sp|Q9SMN1|GCAL2_ARATH,8ca.gamma.45,120.3,2.6e-38,gamma
sp|Q9ULX7|CAH14_HUMAN,8ca.beta.45,127.0,4e-40,beta
sp|Q9WVT6|CAH14_MOUSE,8ca.beta.45,126.3,6.5e-40,beta
sp|Q9XSZ4|S4A4_RABIT,,,,NO_HIT
sp|Q9Y2D0|CAH5B_HUMAN,8ca.beta.45,141.6,1.3000000000000002e-44,beta
sp|Q9Y6M7|S4A7_HUMAN,,,,NO_HIT
sp|Q9Y6R1|S4A4_HUMAN,,,,NO_HIT
sp|Q9Y6X9|MORC2_HUMAN,,,,NO_HIT
