DATASET_COLORSTRIP
SEPARATOR SPACE
DATASET_LABEL OG_labels_in_tree
COLOR #333333
BORDER_WIDTH 0.5
MARGIN 5
STRIP_WIDTH 25
LEGEND_TITLE Original classes
LEGEND_SHAPES 1 1 1 1 1 1 1 1 1
LEGEND_COLORS #1f77b4 #ff7f0e #2ca02c #d62728 #9467bd #8c564b #e377c2 #7f7f7f #999999
LEGEND_LABELS alpha beta gamma delta iota zeta eta theta NO_HIT
DATA
S_MDI6724671.1 #1f77b4 8ca.alpha.45
S_HEY0196415.1 #1f77b4 8ca.alpha.45
S_OPY24129.1 #1f77b4 8ca.alpha.45
S_NYB27540.1 #1f77b4 8ca.alpha.45
S_WP_069584798.1 #1f77b4 8ca.alpha.45
S_PAV05238.1 #1f77b4 8ca.alpha.45
S_WP_319373547.1 #1f77b4 8ca.alpha.45
S_WP_048192241.1 #1f77b4 8ca.alpha.45
S_WP_321423126.1 #1f77b4 8ca.alpha.45
S_WP_209584305.1 #1f77b4 8ca.alpha.45
S_WP_071907630.1 #1f77b4 8ca.alpha.45
S_MDD1763712.1 #1f77b4 8ca.alpha.45
S_WP_286478278.1 #1f77b4 8ca.alpha.45
S_MDI9436685.1 #1f77b4 8ca.alpha.45
S_AEG17159.1 #1f77b4 8ca.alpha.45
S_WP_048187783.1 #1f77b4 8ca.alpha.45
S_MCE7699218.1 #1f77b4 8ca.alpha.45
S_MDR1721733.1 #1f77b4 8ca.alpha.45
S_MDD5959157.1 #1f77b4 8ca.alpha.45
S_WP_042707606.1 #1f77b4 8ca.alpha.45
S_WP_067258784.1 #1f77b4 8ca.alpha.45
S_KZX16743.1 #1f77b4 8ca.alpha.45
S_KZX17080.1 #1f77b4 8ca.alpha.45
S_WP_066970935.1 #1f77b4 8ca.alpha.45
S_WP_297981865.1 #1f77b4 8ca.alpha.45
S_WP_224424726.1 #1f77b4 8ca.alpha.45
S_WP_016358078.1 #1f77b4 8ca.alpha.45
S_WP_040682587.1 #1f77b4 8ca.alpha.45
S_WP_321051340.1 #1f77b4 8ca.alpha.45
S_WP_088540216.1 #1f77b4 8ca.alpha.45
S_WP_042702318.1 #1f77b4 8ca.alpha.45
S_WP_178650146.1 #1f77b4 8ca.alpha.45
S_MCC7562678.1 #1f77b4 8ca.alpha.45
S_MCL2687056.1 #1f77b4 8ca.alpha.45
S_WP_080459400.1 #1f77b4 8ca.alpha.45
S_WP_297899156.1 #1f77b4 8ca.alpha.45
S_MBX7076428.1 #1f77b4 8ca.alpha.45
S_MBQ1781784.1 #1f77b4 8ca.alpha.45
S_WP_330025540.1 #1f77b4 8ca.alpha.45
S_MDO5820952.1 #1f77b4 8ca.alpha.45
S_KZX10472.1 #1f77b4 8ca.alpha.45
S_WP_067092537.1 #1f77b4 8ca.alpha.45
S_MDR3063570.1 #1f77b4 8ca.alpha.45
S_WP_303295131.1 #1f77b4 8ca.alpha.45
S_WP_116670377.1 #1f77b4 8ca.alpha.45
S_MDR0912733.1 #1f77b4 8ca.alpha.45
S_MCC9261460.1 #1f77b4 8ca.alpha.45
S_WP_273476335.1 #1f77b4 8ca.alpha.45
S_MDR2967966.1 #1f77b4 8ca.alpha.45
S_WP_299521706.1 #1f77b4 8ca.alpha.45
S_WP_019265113.1 #1f77b4 8ca.alpha.45
S_MCQ2972569.1 #1f77b4 8ca.alpha.45
S_WP_337505422.1 #1f77b4 8ca.alpha.45
S_BDF80562.1 #1f77b4 8ca.alpha.45
S_WP_004032709.1 #1f77b4 8ca.alpha.45
S_MCQ2977573.1 #1f77b4 8ca.alpha.45
S_WP_303334266.1 #1f77b4 8ca.alpha.45
S_WP_279140682.1 #1f77b4 8ca.alpha.45
S_MDO5847926.1 #1f77b4 8ca.alpha.45
S_WP_004036071.1 #1f77b4 8ca.alpha.45
S_WP_011954368.1 #1f77b4 8ca.alpha.45
S_WP_296858172.1 #1f77b4 8ca.alpha.45
S_MCQ2737689.1 #1f77b4 8ca.alpha.45
S_WP_278514386.1 #1f77b4 8ca.alpha.45
S_MDO5849814.1 #1f77b4 8ca.alpha.45
S_QNB48389.1 #1f77b4 8ca.alpha.45
S_WP_243269977.1 #1f77b4 8ca.alpha.45
S_WP_048176089.1 #1f77b4 8ca.alpha.45
S_WP_305514183.1 #1f77b4 8ca.alpha.45
S_MCR5026394.1 #1f77b4 8ca.alpha.45
S_WP_248564172.1 #1f77b4 8ca.alpha.45
S_MDI6882488.1 #1f77b4 8ca.alpha.45
S_WP_303371892.1 #1f77b4 8ca.alpha.45
S_HOK73305.1 #1f77b4 8ca.alpha.45
S_MBE6489351.1 #1f77b4 8ca.alpha.45
S_MBQ9160808.1 #1f77b4 8ca.alpha.45
S_WP_295162051.1 #1f77b4 8ca.alpha.45
S_MBQ9026002.1 #1f77b4 8ca.alpha.45
S_WP_292894182.1 #1f77b4 8ca.alpha.45
S_WP_303724024.1 #1f77b4 8ca.alpha.45
S_MBE6500767.1 #1f77b4 8ca.alpha.45
S_WP_292888885.1 #1f77b4 8ca.alpha.45
S_WQM40775.1 #ff7f0e 8ca.beta.45
S_8W7X_A #ff7f0e 8ca.beta.45
S_WP_012459296.1 #ff7f0e 8ca.beta.45
S_WP_299230087.1 #ff7f0e 8ca.beta.45
S_WNH14695.1 #ff7f0e 8ca.beta.45
S_4G7A_A #ff7f0e 8ca.beta.45
S_MCX7759766.1 #ff7f0e 8ca.beta.45
S_MBX0310931.1 #ff7f0e 8ca.beta.45
S_WP_068668235.1 #ff7f0e 8ca.beta.45
S_HSQ70830.1 #ff7f0e 8ca.beta.45
S_MBP8173039.1 #ff7f0e 8ca.beta.45
S_HEX5640072.1 #ff7f0e 8ca.beta.45
S_WP_154372117.1 #ff7f0e 8ca.beta.45
S_WP_171163466.1 #ff7f0e 8ca.beta.45
S_MBU0657002.1 #ff7f0e 8ca.beta.45
S_MES2259295.1 #ff7f0e 8ca.beta.45
S_AVN84966.1 #ff7f0e 8ca.beta.45
S_MBK8119283.1 #ff7f0e 8ca.beta.45
S_MBK9784147.1 #ff7f0e 8ca.beta.45
S_WP_002709534.1 #ff7f0e 8ca.beta.45
S_WP_200672902.1 #ff7f0e 8ca.beta.45
S_WP_229490596.1 #ff7f0e 8ca.beta.45
S_MBY0238114.1 #ff7f0e 8ca.beta.45
S_MEZ5451801.1 #ff7f0e 8ca.beta.45
S_WP_303509655.1 #ff7f0e 8ca.beta.45
S_KOR29838.1 #ff7f0e 8ca.beta.45
S_WP_158187029.1 #ff7f0e 8ca.beta.45
S_MEO2153764.1 #ff7f0e 8ca.beta.45
S_MEN8166604.1 #ff7f0e 8ca.beta.45
S_WP_303549230.1 #ff7f0e 8ca.beta.45
S_WP_320373168.1 #ff7f0e 8ca.beta.45
S_WP_210218415.1 #ff7f0e 8ca.beta.45
S_WP_256047295.1 #ff7f0e 8ca.beta.45
S_HKJ81916.1 #ff7f0e 8ca.beta.45
S_MEZ7861920.1 #ff7f0e 8ca.beta.45
S_OGB23614.1 #ff7f0e 8ca.beta.45
S_WP_026258776.1 #ff7f0e 8ca.beta.45
S_HLE09529.1 #ff7f0e 8ca.beta.45
S_WP_287605246.1 #ff7f0e 8ca.beta.45
S_WP_256058838.1 #ff7f0e 8ca.beta.45
S_WP_153132318.1 #ff7f0e 8ca.beta.45
S_WP_114280588.1 #ff7f0e 8ca.beta.45
S_WP_297453004.1 #ff7f0e 8ca.beta.45
S_6EKI_A #ff7f0e 8ca.beta.45
